ID,Intersection,Date,Time of Day,Manual_Total,Vision_Total,Pct_Diff,GEH_15min,GEH_Hourly_Equiv
8051900,CSAH 109 (85th Ave N) at Edinbrook Pkwy N,2025-06-10,07:45:00,254,405,0.594488188976378,8.318580770747719,16.637161541495438
8014800,CSAH 136 (Silver Lake Rd) at 33rd Ave NE,2025-03-31,07:45:00,176,290,0.6477272727272727,7.468388315716769,14.936776631433538
8002100,CSAH 3 (Excelsior Blvd) at Brookside Ave / Alabama Ave S BACKHAUL,2025-03-11,16:15:00,469,345,-0.26439232409381663,6.14645180399796,12.29290360799592
9010690,CSAH 121 (Maple Grove Pkwy) at Hospital Dr,2025-06-12,08:30:00,390,505,0.2948717948717949,5.436273781341253,10.872547562682506
9010695,CSAH 121 (Maple Grove Pkwy) at 99th Ave / Grove Cir,2025-06-12,15:15:00,658,541,-0.1778115501519757,4.778496453589155,9.55699290717831
8061200,CSAH 61 (Flying Cloud Dr) at Viking Drive,2026-02-24,15:30:00,322,250,-0.2236024844720497,4.257449251121395,8.51489850224279
8037400,CSAH 1 (Pioneer Trail) at Franlo Rd ,2025-04-30,07:45:00,308,245,-0.20454545454545456,3.7887241097428612,7.5774482194857224
8026100,CSAH 152 (Brooklyn Blvd) at 65th Ave N,3035-03-03,09:15:00,476,408,-0.14285714285714285,3.2344301602505596,6.468860320501119
8054100,CSAH 19 (Manitou Rd) at Smithtown Rd,2025-06-19,15:45:00,368,319,-0.1331521739130435,2.6438250266366268,5.2876500532732535
8057895,CSAH 81 (Industrial Blvd) at John Deere Ln,2026-02-17,16:00:00,310,266,-0.14193548387096774,2.592724864350674,5.185449728701348
8045400,CSAH 130 (West Broadway) at 76th Ave N,2025-06-13,15:00:00,308,354,0.14935064935064934,2.5283886656748384,5.056777331349677
8054900,CSAH 28 (E Bush Lake Rd) at American Blvd / Green Valley Dr,2025-06-24,08:00:00,356,312,-0.12359550561797752,2.4075728827241645,4.815145765448329
8058010,CSAH 73 (Hopkins Crossroad) at Wayzata Blvd / North Frontage Road,2026-03-09,16:00:00,391,346,-0.11508951406649616,2.3441951748178047,4.688390349635609
8037100,CSAH 103 (West Broadway) at Dragon Star Supermarket/Rainbow Foods Driveway,2025-06-09,16:00:00,421,375,-0.10926365795724466,2.3057716527385934,4.611543305477187
9010660,CSAH 61 (Zachary Ln N) at 89th Ave N,2026-02-26,15:00:00,342,302,-0.11695906432748537,2.2291128503014113,4.4582257006028225
8027600,CSAH 17 (France Ave) at I-494 N Ramp / 78th St,2026-04-03,07:45:00,647,594,-0.08191653786707882,2.1276734616448056,4.255346923289611
8057890,CSAH 81 (Main St) at John Milless Dr / Industrial Blvd,2026-03-06,08:00:00,454,411,-0.0947136563876652,2.0676422583876835,4.135284516775367
8057800,CSAH 61 (Flying Cloud Dr) at Charlson Rd,2026-02-24,15:00:00,136,114,-0.16176470588235295,1.9677398201998149,3.9354796403996297
8030800,CSAH 28 (E Bush Lake Rd) at 78th St W ,2025-04-04,19:45:00,284,318,0.11971830985915492,1.9597274201943988,3.9194548403887977
8036600,CSAH 15 (Lynwood Blvd) at CSAH 110 (Commerce Blvd),2025-04-18,07:45:00,433,396,-0.08545034642032333,1.8173536879266257,3.6347073758532513
8049100,CSAH 101 (County Rd 101) at Hutchins Dr,2025-06-09,12:30:00,354,324,-0.0847457627118644,1.6293763397807053,3.2587526795614106
8052400,CSAH 61 (Northwest Blvd) at W Medicine Lake Dr,2026-02-26,08:00:00,208,186,-0.10576923076923077,1.567435099734012,3.134870199468024
8056450,CSAH 130 (Elm Creek Blvd) at Fountains Dr-BACKHAUL,2025-06-13,07:45:00,214,193,-0.09813084112149532,1.4720992381888414,2.9441984763776827
9010810,CSAH 103 (West Broadway) at Oak Grove Pkwy,2025-06-10,15:00:00,252,268,0.06349206349206349,0.9922778767136676,1.9845557534273353
8052000,CSAH 1 (Pioneer Trail) at Staring Lake Parkway,2025-06-04,08:30:00,176,164,-0.06818181818181818,0.9203579866168445,1.840715973233689
8059100,CR 101 (Brockton Ln) at Dayton Parkway,2025-03-04,08:45:00,207,194,-0.06280193236714976,0.9180919170103833,1.8361838340207666
8058015,CSAH 73 (Hopkins Crossroad) at S Frontage Rd,2026-03-03,15:00:00,282,267,-0.05319148936170213,0.9053574604251853,1.8107149208503706
8059010,CSAH 81 (Bottineau) at 35th Ave/HyVee,2026-03-09,08:00:00,413,431,0.043583535108958835,0.8762262903202239,1.7524525806404478
8025300,CSAH 130 (West Broadway) at 73rd Ave N,2025-04-02,07:45:00,174,185,0.06321839080459771,0.8210327079482835,1.642065415896567
8051400,CSAH 1 (Pioneer Trail) at Dell Rd,2025-04-29,08:15:00,190,179,-0.05789473684210526,0.8098311912155414,1.6196623824310827
8032700,CSAH 153 (Kenzie Ter) at Kenzington Apts,2025-04-07,12:45:00,81,74,-0.08641975308641975,0.7951465679458907,1.5902931358917813
8039900,CSAH 27 (Stinson Blvd NE) at 37th Ave NE,2025-06-23,15:45:00,308,296,-0.03896103896103896,0.6905224051781231,1.3810448103562463
8057900,CSAH 81 (Industrial Blvd) at John Milless Dr / Memorial Dr,2026-03-04,15:00:00,158,166,0.05063291139240506,0.6285393610547089,1.2570787221094177
8042600,CSAH 152 (Brooklyn Blvd) at Jolly Lane,2025-03-07,08:30:00,242,233,-0.0371900826446281,0.5839971160707451,1.1679942321414902
8035100,CSAH 101 (Central Ave) at Wayzata Blvd - Master Controller,2025-06-05,15:00:00,625,639,0.0224,0.556890098923011,1.113780197846022
8052100,CSAH 1 (Pioneer Trail) at Bennett Place,2025-04-25,07:45:00,273,264,-0.03296703296703297,0.5492503779276181,1.0985007558552362
8057965,CSAH 144 (141st Ave N) at Northdale Blvd,2025-06-18,15:45:00,353,343,-0.028328611898016998,0.5360562674188974,1.072112534837795
8031700,CSAH 15 (Shoreline Dr) at CSAH 51 (Sunset Dr),2025-06-19,12:45:00,369,360,-0.024390243902439025,0.4714045207910317,0.9428090415820634
8048400,CSAH 8 (West Broadway) at 57th Ave N,2026-03-03,07:30:00,125,120,-0.04,0.45175395145262565,0.9035079029052513
8033150,CSAH 25 (Hwy 7) at Lynn Ave,2025-06-23,07:45:00,429,420,-0.02097902097902098,0.43682115430466106,0.8736423086093221
8051500,CSAH 24 (County Rd 24) at Medina Rd,2025-06-20,15:00:00,255,250,-0.0196078431372549,0.3146583877637763,0.6293167755275526
8037300,CSAH 1 (Pioneer Trail) at Homeward Hills Rd,2025-05-01,07:45:00,380,374,-0.015789473684210527,0.3090157215747628,0.6180314431495256
8052900,CSAH 130 (77th Ave N) at Boone Ave N,2025-06-12,12:45:00,166,170,0.024096385542168676,0.3086066999241838,0.6172133998483676
8057970,CSAH 144 (141st Ave N) at James Rd/Rogers Dr,2025-06-16,12:45:00,397,391,-0.015113350125944584,0.30227563311592703,0.6045512662318541
8052300,CSAH 110 (Commerce Blvd) at Sunnyfield Rd E,2025-06-11,12:15:00,256,253,-0.01171875,0.1880517422421668,0.3761034844843336
8048500,CSAH 1 (Pioneer Trail) at Mitchell Rd,2025-06-04,15:15:00,273,270,-0.01098901098901099,0.18206913871032132,0.36413827742064264
8055800,CSAH 144 (141st Ave N) at Rogers High School W Entr,2025-06-19,07:45:00,157,159,0.012738853503184714,0.15911145683514602,0.31822291367029204
8054600,CSAH 73 (Hopkins Crossroad) at Minnetonka Mills Rd / 5th St N,2026-02-27,07:45:00,269,268,-0.0037174721189591076,0.06102781976973534,0.12205563953947068
